employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,TrainingPerformance,TrainingEffectiveness,WorkforceStability,RetentionRisk,Region_Display,Top_Performer
27561,Operations,region_27,Bachelors,f,sourcing,1,26,5,3,0,0,56,Medium,Medium,Medium,Medium Risk,Region 27,No
26622,Sales & Marketing,region_17,Bachelors,m,sourcing,1,40,5,6,1,0,50,Medium,Medium,High,Medium Risk,Region 17,No
31582,Procurement,region_7,Bachelors,f,other,1,49,3,7,1,0,64,Medium,Medium,High,Medium Risk,Region 7,No
29793,Procurement,region_27,Bachelors,m,other,1,27,2,5,0,0,65,Medium,Low,Medium,High Risk,Region 27,No
72735,Sales & Marketing,region_9,Masters & above,m,sourcing,1,37,5,3,0,0,47,Low,Medium,Medium,Medium Risk,Region 9,No
5677,Technology,region_17,Bachelors,m,sourcing,1,25,3,1,0,0,80,High,Medium,Low,High Risk,Region 17,No
60889,Technology,region_29,Masters & above,m,sourcing,1,30,1,3,0,0,83,High,Low,Medium,High Risk,Region 29,No
51498,Procurement,region_4,Masters & above,m,other,1,41,3,4,0,0,76,High,Medium,Medium,Medium Risk,Region 4,No
8566,Finance,region_20,Bachelors,f,other,1,29,4,6,1,0,58,Medium,Medium,High,Medium Risk,Region 20,No
53151,Operations,region_20,Bachelors,m,other,1,33,3,7,1,1,62,Medium,Medium,High,Medium Risk,Region 20,Yes
16203,Sales & Marketing,region_17,Masters & above,m,sourcing,1,34,4,6,1,0,50,Medium,Medium,High,Medium Risk,Region 17,No
61083,Analytics,region_13,Bachelors,m,sourcing,1,34,3,3,1,0,87,High,Medium,Medium,Medium Risk,Region 13,No
74849,Operations,region_22,Bachelors,m,other,1,52,1,10,0,0,61,Medium,Low,Medium,High Risk,Region 22,No
13259,Sales & Marketing,region_34,Bachelors,m,sourcing,1,30,2,3,0,0,50,Medium,Low,Medium,High Risk,Region 34,No
72407,Analytics,region_2,Masters & above,m,sourcing,2,34,4,7,0,0,87,High,High,Medium,Medium Risk,Region 2,No
65237,Sales & Marketing,region_2,Bachelors,m,sourcing,2,43,1,14,0,0,52,Medium,Low,Medium,High Risk,Region 2,No
67672,Technology,region_17,Bachelors,m,other,1,29,3,1,1,0,85,High,Medium,Low,High Risk,Region 17,No
77460,Sales & Marketing,region_2,Bachelors,f,sourcing,1,35,3,3,1,0,52,Medium,Medium,Medium,Medium Risk,Region 2,No
67317,Technology,region_22,Masters & above,m,other,4,40,3,12,0,0,77,High,Medium,Medium,Medium Risk,Region 22,No
68788,Technology,region_23,Bachelors,m,sourcing,2,33,4,9,0,0,83,High,High,Medium,Medium Risk,Region 23,No
36834,Sales & Marketing,region_8,Masters & above,m,other,1,30,3,2,1,0,55,Medium,Medium,Low,High Risk,Region 8,No
64281,Sales & Marketing,region_14,Bachelors,f,sourcing,2,42,1,3,1,0,46,Low,Low,Medium,High Risk,Region 14,No
1822,Sales & Marketing,region_22,Bachelors,m,sourcing,3,29,1,3,0,0,51,Medium,Low,Medium,High Risk,Region 22,No
55325,Analytics,region_22,Bachelors,m,other,1,25,3,1,0,0,88,High,Medium,Low,High Risk,Region 22,No
41432,Analytics,region_26,Bachelors,m,sourcing,1,26,5,4,1,0,90,High,Medium,Medium,Medium Risk,Region 26,No
52061,Sales & Marketing,region_31,Bachelors,m,other,1,27,2,3,0,0,52,Medium,Low,Medium,High Risk,Region 31,No
39973,Operations,region_13,Bachelors,m,other,1,34,5,5,1,0,66,Medium,Medium,High,Medium Risk,Region 13,No
42524,Sales & Marketing,region_31,Bachelors,m,sourcing,1,26,4,5,0,0,45,Low,Medium,Medium,Medium Risk,Region 31,No
7935,Technology,region_2,Bachelors,f,other,1,52,5,18,0,0,80,High,Medium,Medium,Medium Risk,Region 2,No
49940,Sales & Marketing,region_7,Bachelors,m,other,1,26,5,2,1,0,54,Medium,Medium,Low,High Risk,Region 7,No
10059,Analytics,region_34,Bachelors,m,sourcing,3,27,3,2,0,0,83,High,Medium,Low,High Risk,Region 34,No
44159,Analytics,region_22,Masters & above,m,other,1,31,3,1,1,0,84,High,Medium,Low,High Risk,Region 22,No
76691,Operations,region_23,Bachelors,m,other,1,33,4,8,1,0,59,Medium,Medium,High,Medium Risk,Region 23,No
3720,Sales & Marketing,region_2,Bachelors,m,sourcing,1,36,5,4,1,0,49,Low,Medium,Medium,Medium Risk,Region 2,No
5621,Technology,region_2,Masters & above,f,other,1,57,1,26,0,0,76,High,Low,Medium,High Risk,Region 2,No
24147,Sales & Marketing,region_2,Bachelors,m,other,2,46,1,7,0,0,49,Low,Low,Medium,High Risk,Region 2,No
33997,Sales & Marketing,region_19,Bachelors,m,sourcing,1,30,2,3,0,0,50,Medium,Low,Medium,High Risk,Region 19,No
64076,Operations,region_2,Below Secondary,m,other,1,21,3,1,1,0,56,Medium,Medium,Low,High Risk,Region 2,No
21379,Technology,region_4,Bachelors,m,sourcing,1,26,3,1,1,0,85,High,Medium,Low,High Risk,Region 4,No
23714,Technology,region_7,Masters & above,m,sourcing,2,40,3,6,0,0,81,High,Medium,Medium,Medium Risk,Region 7,No
19866,Technology,region_23,Bachelors,m,other,2,32,3,6,0,0,79,High,Medium,Medium,Medium Risk,Region 23,No
4529,Finance,region_22,Masters & above,f,sourcing,1,36,3,2,1,0,61,Medium,Medium,Low,High Risk,Region 22,No
64703,Legal,region_2,Bachelors,m,other,1,28,2,2,0,0,62,Medium,Low,Low,High Risk,Region 2,No
19649,Operations,region_22,Bachelors,f,sourcing,1,29,5,4,1,0,56,Medium,Medium,Medium,Medium Risk,Region 22,No
6596,Sales & Marketing,region_2,Masters & above,m,sourcing,1,38,4,4,0,0,49,Low,Medium,Medium,Medium Risk,Region 2,No
7999,Technology,region_4,Bachelors,m,other,1,31,2,4,1,0,78,High,Low,Medium,High Risk,Region 4,No
4762,Sales & Marketing,region_22,Bachelors,m,other,1,29,1,4,0,0,46,Low,Low,Medium,High Risk,Region 22,No
5387,Technology,region_5,Below Secondary,m,other,1,23,3,1,0,0,81,High,Medium,Low,High Risk,Region 5,No
24620,Operations,region_26,Bachelors,m,sourcing,1,41,4,6,1,0,60,Medium,Medium,High,Medium Risk,Region 26,No
57989,Procurement,region_2,Bachelors,m,other,1,29,5,2,1,0,74,Medium,Medium,Low,High Risk,Region 2,No
75619,Sales & Marketing,region_28,Bachelors,f,other,1,29,2,5,0,0,51,Medium,Low,Medium,High Risk,Region 28,No
26977,Operations,region_2,Bachelors,m,sourcing,1,28,3,3,0,0,59,Medium,Medium,Medium,Medium Risk,Region 2,No
65975,Analytics,region_29,Bachelors,m,other,2,28,5,4,1,0,84,High,High,Medium,Medium Risk,Region 29,No
51302,Procurement,region_22,Bachelors,f,sourcing,1,31,1,6,0,0,64,Medium,Low,Medium,High Risk,Region 22,No
63714,Technology,region_4,Masters & above,m,sourcing,1,36,3,4,0,0,76,High,Medium,Medium,Medium Risk,Region 4,No
70556,Operations,region_2,Bachelors,m,other,3,26,3,4,1,0,57,Medium,Medium,Medium,Medium Risk,Region 2,No
70117,Technology,region_15,Bachelors,m,other,1,29,3,2,0,0,84,High,Medium,Low,High Risk,Region 15,No
51972,Analytics,region_7,Bachelors,m,sourcing,1,32,4,6,0,0,85,High,Medium,Medium,Medium Risk,Region 7,No
60572,Sales & Marketing,region_2,Bachelors,f,other,1,40,1,10,0,0,50,Medium,Low,Medium,High Risk,Region 2,No
9548,Analytics,region_22,Bachelors,m,sourcing,2,38,4,13,0,0,87,High,High,Medium,Medium Risk,Region 22,No
64,Analytics,region_4,Bachelors,m,other,1,42,5,11,1,0,80,High,Medium,High,Medium Risk,Region 4,No
35510,Procurement,region_29,Masters & above,f,other,1,33,3,6,0,0,68,Medium,Medium,Medium,Medium Risk,Region 29,No
10732,Analytics,region_2,Bachelors,m,other,1,31,5,5,1,0,92,High,Medium,High,Medium Risk,Region 2,No
9214,Operations,region_3,Masters & above,f,sourcing,1,35,3,4,0,0,58,Medium,Medium,Medium,Medium Risk,Region 3,No
10761,HR,region_2,Masters & above,f,sourcing,1,58,5,6,1,0,51,Medium,Medium,High,Medium Risk,Region 2,No
32110,Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,2,4,0,0,48,Low,Low,Medium,High Risk,Region 28,No
50038,HR,region_29,Bachelors,f,sourcing,1,33,3,8,1,0,49,Low,Medium,High,Medium Risk,Region 29,No
1555,Technology,region_7,Bachelors,m,sourcing,1,30,3,3,1,0,80,High,Medium,Medium,Medium Risk,Region 7,No
21200,Technology,region_13,Masters & above,f,sourcing,1,43,3,12,0,0,79,High,Medium,Medium,Medium Risk,Region 13,No
50380,HR,region_17,Bachelors,f,sourcing,1,31,4,7,0,0,48,Low,Medium,Medium,Medium Risk,Region 17,No
45009,Analytics,region_29,Bachelors,m,sourcing,1,32,3,5,1,0,86,High,Medium,High,Medium Risk,Region 29,No
65450,Technology,region_2,Masters & above,f,sourcing,2,57,2,7,0,0,83,High,Low,Medium,High Risk,Region 2,No
77333,Operations,region_2,Bachelors,f,other,1,54,4,22,0,0,57,Medium,Medium,Medium,Medium Risk,Region 2,No
2347,Analytics,region_15,Bachelors,m,other,2,37,5,8,1,0,82,High,High,High,Low Risk,Region 15,No
8443,R&D,region_22,Masters & above,m,other,2,27,4,5,0,0,86,High,High,Medium,Medium Risk,Region 22,No
39490,Operations,region_22,Masters & above,m,sourcing,1,44,3,10,0,0,55,Medium,Medium,Medium,Medium Risk,Region 22,No
69077,Technology,region_24,Masters & above,f,other,1,37,3,10,0,0,81,High,Medium,Medium,Medium Risk,Region 24,No
64652,Procurement,region_7,Masters & above,m,other,1,48,4,8,0,0,72,Medium,Medium,Medium,Medium Risk,Region 7,No
5254,Sales & Marketing,region_25,Bachelors,f,other,1,31,3,6,1,0,43,Low,Medium,High,Medium Risk,Region 25,No
71131,Finance,region_22,Bachelors,f,other,1,28,5,5,1,0,60,Medium,Medium,High,Medium Risk,Region 22,No
19620,Procurement,region_13,Masters & above,f,other,1,34,3,4,0,0,69,Medium,Medium,Medium,Medium Risk,Region 13,No
41266,Sales & Marketing,region_14,Bachelors,f,sourcing,1,44,1,4,0,0,47,Low,Low,Medium,High Risk,Region 14,No
11001,Sales & Marketing,region_12,Bachelors,m,sourcing,1,27,5,2,0,0,50,Medium,Medium,Low,High Risk,Region 12,No
28530,Operations,region_22,Masters & above,m,referred,1,45,3,4,1,0,57,Medium,Medium,Medium,Medium Risk,Region 22,No
72481,Sales & Marketing,region_13,Bachelors,m,sourcing,1,24,4,2,0,0,48,Low,Medium,Low,High Risk,Region 13,No
67417,Analytics,region_29,Bachelors,m,other,1,37,5,4,0,0,82,High,Medium,Medium,Medium Risk,Region 29,No
51840,Analytics,region_22,Masters & above,m,other,1,27,3,1,1,0,86,High,Medium,Low,High Risk,Region 22,No
43223,Legal,region_22,Bachelors,m,other,1,33,3,1,1,0,59,Medium,Medium,Low,High Risk,Region 22,No
40287,Sales & Marketing,region_2,Masters & above,f,other,1,31,1,2,1,0,53,Medium,Low,Low,High Risk,Region 2,No
29367,Sales & Marketing,region_7,Masters & above,m,sourcing,3,38,3,5,0,0,49,Low,Medium,Medium,Medium Risk,Region 7,No
36352,Procurement,region_22,Bachelors,m,other,1,32,5,2,1,0,72,Medium,Medium,Low,High Risk,Region 22,No
29681,Analytics,region_19,Bachelors,m,other,1,29,3,4,0,0,84,High,Medium,Medium,Medium Risk,Region 19,No
30233,Sales & Marketing,region_15,Bachelors,m,other,1,37,4,9,0,0,50,Medium,Medium,Medium,Medium Risk,Region 15,No
66601,Operations,region_13,Bachelors,m,other,2,42,3,12,0,0,60,Medium,Medium,Medium,Medium Risk,Region 13,No
40276,R&D,region_22,Masters & above,m,sourcing,2,32,5,5,1,0,88,High,High,High,Low Risk,Region 22,No
1522,Operations,region_13,Bachelors,m,other,1,45,3,3,0,0,60,Medium,Medium,Medium,Medium Risk,Region 13,No
17936,Analytics,region_29,Bachelors,m,other,1,28,3,7,0,0,83,High,Medium,Medium,Medium Risk,Region 29,No
26270,Technology,region_15,Masters & above,m,sourcing,1,35,1,9,0,0,81,High,Low,Medium,High Risk,Region 15,No
6837,Sales & Marketing,region_4,Bachelors,m,other,3,28,3,5,0,0,48,Low,Medium,Medium,Medium Risk,Region 4,No
49665,Operations,region_8,Bachelors,f,other,1,37,1,3,1,0,59,Medium,Low,Medium,High Risk,Region 8,No
1908,Analytics,region_4,Masters & above,m,other,1,38,4,7,1,0,88,High,Medium,High,Medium Risk,Region 4,No
6474,Procurement,region_2,Bachelors,f,sourcing,1,31,1,6,0,0,68,Medium,Low,Medium,High Risk,Region 2,No
27495,Operations,region_2,Masters & above,m,other,2,43,3,2,0,0,69,Medium,Medium,Low,High Risk,Region 2,No
24324,Operations,region_23,Bachelors,m,other,1,32,3,2,1,0,62,Medium,Medium,Low,High Risk,Region 23,No
14299,Procurement,region_2,Below Secondary,m,sourcing,1,24,4,2,1,0,69,Medium,Medium,Low,High Risk,Region 2,No
56246,Operations,region_2,Masters & above,m,other,1,52,5,8,0,0,59,Medium,Medium,Medium,Medium Risk,Region 2,No
3901,Technology,region_13,Masters & above,m,other,1,38,5,2,0,0,88,High,Medium,Low,High Risk,Region 13,No
41566,Finance,region_20,Bachelors,m,other,1,35,3,4,0,0,59,Medium,Medium,Medium,Medium Risk,Region 20,No
55735,Technology,region_31,Masters & above,m,other,1,39,5,4,0,1,81,High,Medium,Medium,Medium Risk,Region 31,No
53627,Procurement,region_7,Bachelors,m,other,1,31,3,5,1,0,65,Medium,Medium,High,Medium Risk,Region 7,No
62683,Operations,region_27,Bachelors,m,sourcing,1,37,3,5,0,0,57,Medium,Medium,Medium,Medium Risk,Region 27,No
42719,Analytics,region_21,Bachelors,m,sourcing,1,27,3,1,0,0,80,High,Medium,Low,High Risk,Region 21,No
44948,Operations,region_30,Masters & above,f,other,1,37,5,9,1,0,56,Medium,Medium,High,Medium Risk,Region 30,No
26037,Analytics,region_16,Bachelors,m,other,2,31,3,5,1,0,81,High,Medium,High,Medium Risk,Region 16,No
30607,Analytics,region_22,Bachelors,m,sourcing,1,28,5,4,1,0,85,High,Medium,Medium,Medium Risk,Region 22,No
46103,Technology,region_15,Bachelors,m,other,1,26,3,3,0,0,77,High,Medium,Medium,Medium Risk,Region 15,No
6452,Finance,region_2,Masters & above,m,other,1,49,4,7,1,0,62,Medium,Medium,High,Medium Risk,Region 2,No
47286,Procurement,region_13,Bachelors,f,other,1,34,3,9,0,0,68,Medium,Medium,Medium,Medium Risk,Region 13,No
44117,Finance,region_4,Masters & above,f,other,1,38,3,2,0,0,58,Medium,Medium,Low,High Risk,Region 4,No
1367,Sales & Marketing,region_13,Masters & above,m,other,1,52,4,4,1,0,51,Medium,Medium,Medium,Medium Risk,Region 13,No
26228,Sales & Marketing,region_22,Bachelors,m,sourcing,3,31,1,7,1,0,50,Medium,Low,High,High Risk,Region 22,No
65694,Technology,region_2,Bachelors,f,other,1,24,1,2,0,0,82,High,Low,Low,High Risk,Region 2,No
2721,Analytics,region_22,Bachelors,f,sourcing,2,26,5,3,1,0,86,High,High,Medium,Medium Risk,Region 22,No
63901,HR,region_7,Bachelors,m,other,1,31,2,5,0,0,66,Medium,Low,Medium,High Risk,Region 7,No
4701,Technology,region_26,Bachelors,f,other,1,43,1,4,1,0,86,High,Low,Medium,High Risk,Region 26,No
35341,Procurement,region_4,Masters & above,m,other,4,37,3,6,0,0,68,Medium,Medium,Medium,Medium Risk,Region 4,No
3203,Sales & Marketing,region_2,Bachelors,m,sourcing,1,37,4,4,0,0,50,Medium,Medium,Medium,Medium Risk,Region 2,No
10361,HR,region_2,Masters & above,m,other,1,37,5,9,1,0,53,Medium,Medium,High,Medium Risk,Region 2,No
6572,Operations,region_29,Bachelors,m,other,1,32,5,8,1,0,58,Medium,Medium,High,Medium Risk,Region 29,No
70408,Sales & Marketing,region_26,Bachelors,f,other,1,30,4,2,0,0,53,Medium,Medium,Low,High Risk,Region 26,No
11774,Procurement,region_20,Bachelors,f,other,1,30,5,4,1,0,71,Medium,Medium,Medium,Medium Risk,Region 20,No
37873,Sales & Marketing,region_7,Bachelors,m,sourcing,1,27,4,3,0,0,50,Medium,Medium,Medium,Medium Risk,Region 7,No
3886,Sales & Marketing,region_2,Bachelors,m,other,2,36,4,8,0,0,45,Low,High,Medium,Medium Risk,Region 2,No
23347,Technology,region_9,Bachelors,m,sourcing,4,30,3,2,0,0,78,High,Medium,Low,High Risk,Region 9,No
3034,Procurement,region_2,Masters & above,m,sourcing,1,49,4,19,0,0,73,Medium,Medium,Medium,Medium Risk,Region 2,No
30137,Sales & Marketing,region_10,Masters & above,m,other,1,38,5,5,0,0,63,Medium,Medium,Medium,Medium Risk,Region 10,No
52431,Sales & Marketing,region_30,Bachelors,m,other,1,29,3,6,0,0,51,Medium,Medium,Medium,Medium Risk,Region 30,No
11061,Technology,region_33,Bachelors,m,other,1,48,3,6,1,0,81,High,Medium,High,Medium Risk,Region 33,No
9706,Sales & Marketing,region_21,Bachelors,m,other,1,29,3,1,0,0,53,Medium,Medium,Low,High Risk,Region 21,No
17607,Analytics,region_2,Masters & above,m,other,1,59,4,13,0,0,82,High,Medium,Medium,Medium Risk,Region 2,No
64986,Operations,region_7,Bachelors,f,other,1,36,5,5,1,0,62,Medium,Medium,High,Medium Risk,Region 7,No
8082,Finance,region_13,Bachelors,m,other,1,28,3,3,0,0,59,Medium,Medium,Medium,Medium Risk,Region 13,No
20982,Procurement,region_22,Bachelors,m,other,2,27,4,2,1,0,68,Medium,High,Low,High Risk,Region 22,No
5794,Operations,region_2,Bachelors,m,sourcing,1,25,3,2,0,0,62,Medium,Medium,Low,High Risk,Region 2,No
69381,Sales & Marketing,region_26,Bachelors,m,other,1,30,5,6,1,0,52,Medium,Medium,High,Medium Risk,Region 26,No
50176,HR,region_27,Below Secondary,m,other,1,23,3,1,0,0,51,Medium,Medium,Low,High Risk,Region 27,No
1612,HR,region_15,Bachelors,f,sourcing,1,28,3,1,0,0,50,Medium,Medium,Low,High Risk,Region 15,No
48923,Sales & Marketing,region_2,Bachelors,m,other,1,38,4,5,1,0,48,Low,Medium,High,Medium Risk,Region 2,No
50366,Sales & Marketing,region_22,Bachelors,m,sourcing,1,30,3,1,1,0,45,Low,Medium,Low,High Risk,Region 22,No
48813,HR,region_2,Bachelors,f,other,1,53,4,21,0,0,53,Medium,Medium,Medium,Medium Risk,Region 2,No
5574,Sales & Marketing,region_8,Masters & above,m,other,1,35,3,8,0,0,45,Low,Medium,Medium,Medium Risk,Region 8,No
57601,HR,region_2,Bachelors,m,other,1,45,3,14,1,0,53,Medium,Medium,High,Medium Risk,Region 2,No
26788,Sales & Marketing,region_26,Bachelors,m,sourcing,1,40,1,8,0,0,51,Medium,Low,Medium,High Risk,Region 26,No
564,Operations,region_32,Bachelors,m,other,1,39,3,8,0,0,58,Medium,Medium,Medium,Medium Risk,Region 32,No
3864,Analytics,region_13,Bachelors,m,other,1,46,4,6,0,0,82,High,Medium,Medium,Medium Risk,Region 13,No
19598,Technology,region_5,Bachelors,m,sourcing,2,29,3,3,0,0,79,High,Medium,Medium,Medium Risk,Region 5,No
19513,Analytics,region_6,Bachelors,m,other,1,28,3,1,1,0,84,High,Medium,Low,High Risk,Region 6,No
74965,Technology,region_15,Bachelors,f,other,1,34,4,6,1,0,82,High,Medium,High,Medium Risk,Region 15,No
42353,Sales & Marketing,region_9,Bachelors,m,other,1,23,3,1,1,0,47,Low,Medium,Low,High Risk,Region 9,No
13367,Sales & Marketing,region_14,Bachelors,m,other,1,38,5,3,0,0,51,Medium,Medium,Medium,Medium Risk,Region 14,No
38556,HR,region_22,Masters & above,m,sourcing,1,32,3,5,0,0,52,Medium,Medium,Medium,Medium Risk,Region 22,No
51344,Operations,region_26,Bachelors,m,other,1,33,3,5,1,0,58,Medium,Medium,High,Medium Risk,Region 26,No
28320,Procurement,region_2,Bachelors,f,other,1,39,4,9,0,0,70,Medium,Medium,Medium,Medium Risk,Region 2,No
56104,Procurement,region_4,Masters & above,m,other,4,36,3,6,0,0,71,Medium,Medium,Medium,Medium Risk,Region 4,No
68882,Operations,region_22,Bachelors,m,sourcing,2,33,4,4,0,0,59,Medium,High,Medium,Medium Risk,Region 22,No
75800,Sales & Marketing,region_2,Bachelors,f,other,1,29,4,6,1,0,45,Low,Medium,High,Medium Risk,Region 2,No
13223,R&D,region_7,Bachelors,f,other,1,32,3,5,0,0,85,High,Medium,Medium,Medium Risk,Region 7,No
62740,Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,3,2,1,0,46,Low,Medium,Low,High Risk,Region 28,No
67233,Analytics,region_32,Bachelors,m,sourcing,1,38,3,3,0,0,82,High,Medium,Medium,Medium Risk,Region 32,No
49207,Procurement,region_22,Masters & above,m,sourcing,1,42,2,15,0,0,70,Medium,Low,Medium,High Risk,Region 22,No
19053,Operations,region_32,Bachelors,f,sourcing,1,30,5,6,0,0,60,Medium,Medium,Medium,Medium Risk,Region 32,No
38096,Analytics,region_22,Bachelors,m,sourcing,2,28,3,1,0,0,83,High,Medium,Low,High Risk,Region 22,No
46519,Sales & Marketing,region_14,Bachelors,m,other,1,36,4,6,0,0,47,Low,Medium,Medium,Medium Risk,Region 14,No
2111,Procurement,region_2,Bachelors,f,other,1,56,5,6,0,0,84,High,Medium,Medium,Medium Risk,Region 2,No
69413,Sales & Marketing,region_14,Bachelors,f,other,1,30,3,5,0,0,51,Medium,Medium,Medium,Medium Risk,Region 14,No
53827,Sales & Marketing,region_15,Bachelors,m,other,2,25,3,1,0,0,50,Medium,Medium,Low,High Risk,Region 15,No
40064,HR,region_7,Bachelors,f,other,1,29,5,6,1,0,49,Low,Medium,High,Medium Risk,Region 7,No
33502,Sales & Marketing,region_7,Bachelors,m,other,1,36,2,7,0,0,47,Low,Low,Medium,High Risk,Region 7,No
15182,Technology,region_14,Bachelors,f,other,1,39,3,4,0,0,80,High,Medium,Medium,Medium Risk,Region 14,No
13593,Analytics,region_26,Bachelors,m,sourcing,1,30,5,4,1,0,84,High,Medium,Medium,Medium Risk,Region 26,No
15613,R&D,region_2,Bachelors,m,other,2,42,3,9,0,0,84,High,Medium,Medium,Medium Risk,Region 2,No
75751,Sales & Marketing,region_26,Bachelors,m,sourcing,2,37,4,9,0,0,49,Low,High,Medium,Medium Risk,Region 26,No
71625,Procurement,region_22,Bachelors,m,sourcing,1,31,2,2,1,0,66,Medium,Low,Low,High Risk,Region 22,No
37763,Sales & Marketing,region_28,Masters & above,m,sourcing,1,32,4,6,1,0,48,Low,Medium,High,Medium Risk,Region 28,No
10812,Operations,region_15,Masters & above,m,other,1,40,5,11,1,0,59,Medium,Medium,High,Medium Risk,Region 15,No
67357,Finance,region_2,Bachelors,m,sourcing,2,39,5,10,1,0,58,Medium,High,High,Low Risk,Region 2,No
49583,Sales & Marketing,region_26,Bachelors,m,other,1,40,4,10,1,0,47,Low,Medium,High,Medium Risk,Region 26,No
45428,HR,region_22,Bachelors,m,sourcing,1,23,1,2,0,0,45,Low,Low,Low,High Risk,Region 22,No
9978,Operations,region_2,Bachelors,m,sourcing,2,28,3,1,0,0,60,Medium,Medium,Low,High Risk,Region 2,No
44266,Sales & Marketing,region_7,Bachelors,m,other,1,37,2,4,0,0,51,Medium,Low,Medium,High Risk,Region 7,No
47252,Finance,region_2,Below Secondary,m,sourcing,1,23,3,1,1,0,58,Medium,Medium,Low,High Risk,Region 2,No
57884,Operations,region_2,Bachelors,m,sourcing,1,37,3,9,0,0,61,Medium,Medium,Medium,Medium Risk,Region 2,No
24334,Legal,region_22,Bachelors,m,referred,1,29,5,3,1,0,54,Medium,Medium,Medium,Medium Risk,Region 22,No
58892,Operations,region_32,Bachelors,f,other,1,38,4,10,0,0,55,Medium,Medium,Medium,Medium Risk,Region 32,No
40799,Operations,region_22,Bachelors,m,other,2,39,4,10,0,0,57,Medium,High,Medium,Medium Risk,Region 22,No
33879,Sales & Marketing,region_22,Masters & above,m,other,2,38,5,7,1,0,48,Low,High,High,Low Risk,Region 22,No
24403,Procurement,region_13,Bachelors,m,sourcing,1,34,3,4,0,0,69,Medium,Medium,Medium,Medium Risk,Region 13,No
51150,Procurement,region_15,Bachelors,f,other,1,48,5,21,0,0,69,Medium,Medium,Medium,Medium Risk,Region 15,No
7722,R&D,region_26,Masters & above,m,other,1,29,5,4,0,0,82,High,Medium,Medium,Medium Risk,Region 26,No
71271,Technology,region_13,Masters & above,f,other,1,37,4,7,1,0,81,High,Medium,High,Medium Risk,Region 13,No
56772,Sales & Marketing,region_22,Bachelors,m,other,2,23,3,1,1,0,53,Medium,Medium,Low,High Risk,Region 22,No
65909,Operations,region_2,Bachelors,f,other,1,47,5,2,1,0,63,Medium,Medium,Low,High Risk,Region 2,No
8228,Sales & Marketing,region_14,Bachelors,m,sourcing,1,31,1,3,0,0,50,Medium,Low,Medium,High Risk,Region 14,No
52138,Analytics,region_16,Bachelors,m,other,1,28,3,4,0,0,83,High,Medium,Medium,Medium Risk,Region 16,No
22999,Finance,region_28,Masters & above,f,other,2,32,4,6,1,0,57,Medium,High,High,Low Risk,Region 28,No
29196,Procurement,region_27,Bachelors,f,other,1,33,2,4,1,0,71,Medium,Low,Medium,High Risk,Region 27,No
10663,Legal,region_6,Bachelors,m,sourcing,2,28,3,1,1,0,58,Medium,Medium,Low,High Risk,Region 6,No
65651,Legal,region_2,Bachelors,m,other,1,32,3,1,1,0,62,Medium,Medium,Low,High Risk,Region 2,No
