work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,Salary_USD_K,BenchmarkScope
2023,Machine Learning Engineer,Machine Learning and AI,USD,266500,266500,United States,Senior,Full-time,In-person,United States,M,266.5,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000,152000,United States,Senior,Full-time,In-person,United States,M,152,Data & Analytics Market Benchmark
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Mid-level,Full-time,In-person,United States,L,222.2,Data & Analytics Market Benchmark
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Mid-level,Full-time,In-person,United States,L,136,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,273400,273400,United States,Senior,Full-time,In-person,United States,M,273.4,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,182200,182200,United States,Senior,Full-time,In-person,United States,M,182.2,Data & Analytics Market Benchmark
2023,BI Developer,BI and Visualization,USD,167500,167500,United States,Senior,Full-time,In-person,United States,M,167.5,Data & Analytics Market Benchmark
2023,BI Developer,BI and Visualization,USD,106500,106500,United States,Senior,Full-time,In-person,United States,M,106.5,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,185900,185900,United States,Senior,Full-time,In-person,United States,M,185.9,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,129300,129300,United States,Senior,Full-time,In-person,United States,M,129.3,Data & Analytics Market Benchmark
2023,Business Intelligence Engineer,BI and Visualization,USD,185000,185000,United States,Mid-level,Full-time,In-person,United States,L,185,Data & Analytics Market Benchmark
2023,Business Intelligence Engineer,BI and Visualization,USD,79600,79600,United States,Mid-level,Full-time,In-person,United States,L,79.6,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,122000,122000,United States,Senior,Full-time,In-person,United States,M,122,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,94500,94500,United States,Senior,Full-time,In-person,United States,M,94.5,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,247300,247300,United States,Senior,Full-time,In-person,United States,M,247.3,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,139700,139700,United States,Senior,Full-time,In-person,United States,M,139.7,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,USD,176000,176000,United States,Senior,Full-time,In-person,United States,M,176,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,USD,100000,100000,United States,Senior,Full-time,In-person,United States,M,100,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500,204500,United States,Senior,Full-time,In-person,United States,M,204.5,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200,142200,United States,Senior,Full-time,In-person,United States,M,142.2,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,247600,247600,United States,Senior,Full-time,In-person,United States,L,247.6,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,127300,127300,United States,Senior,Full-time,In-person,United States,L,127.3,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,223400,223400,United States,Senior,Full-time,Remote,United States,M,223.4,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,186200,186200,United States,Senior,Full-time,Remote,United States,M,186.2,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,167500,167500,United States,Senior,Full-time,In-person,United States,M,167.5,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,106500,106500,United States,Senior,Full-time,In-person,United States,M,106.5,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,185900,185900,United States,Senior,Full-time,In-person,United States,M,185.9,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,129300,129300,United States,Senior,Full-time,In-person,United States,M,129.3,Data & Analytics Market Benchmark
2023,Research Analyst,Data Science and Research,USD,72000,72000,United States,Entry-level,Full-time,Remote,United States,M,72,Data & Analytics Market Benchmark
2023,Research Analyst,Data Science and Research,USD,64000,64000,United States,Entry-level,Full-time,Remote,United States,M,64,Data & Analytics Market Benchmark
2023,Analytics Engineer,Leadership and Management,USD,179820,179820,United States,Senior,Full-time,In-person,United States,M,179.8,Data & Analytics Market Benchmark
2023,Analytics Engineer,Leadership and Management,USD,143860,143860,United States,Senior,Full-time,In-person,United States,M,143.9,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,283050,283050,United States,Senior,Full-time,In-person,United States,M,283.1,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,188700,188700,United States,Senior,Full-time,In-person,United States,M,188.7,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,133000,133000,United States,Mid-level,Full-time,In-person,United States,M,133,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,58400,58400,United States,Mid-level,Full-time,In-person,United States,M,58.4,Data & Analytics Market Benchmark
2023,Research Engineer,Data Science and Research,USD,141298,141298,United States,Senior,Full-time,In-person,United States,M,141.3,Data & Analytics Market Benchmark
2023,Research Engineer,Data Science and Research,USD,115607,115607,United States,Senior,Full-time,In-person,United States,M,115.6,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,USD,100000,100000,United States,Entry-level,Full-time,In-person,United States,M,100,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,USD,75000,75000,United States,Entry-level,Full-time,In-person,United States,M,75,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,266500,266500,Canada,Senior,Full-time,In-person,Canada,M,266.5,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,144400,144400,Canada,Senior,Full-time,In-person,Canada,M,144.4,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,GBP,58000,71363,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,71.4,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,GBP,45000,55368,United Kingdom,Senior,Full-time,In-person,United Kingdom,M,55.4,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,287500,287500,United States,Senior,Full-time,In-person,United States,M,287.5,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,156000,156000,United States,Senior,Full-time,In-person,United States,M,156,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,USD,90000,90000,United States,Mid-level,Full-time,Remote,United States,M,90,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,USD,70000,70000,United States,Mid-level,Full-time,Remote,United States,M,70,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,199000,199000,United States,Senior,Full-time,In-person,United States,M,199,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,162000,162000,United States,Senior,Full-time,In-person,United States,M,162,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,170884,170884,United States,Mid-level,Full-time,Remote,United States,M,170.9,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,113923,113923,United States,Mid-level,Full-time,Remote,United States,M,113.9,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,184000,184000,United States,Mid-level,Full-time,In-person,United States,M,184,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,123000,123000,United States,Mid-level,Full-time,In-person,United States,M,123,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,235750,235750,United States,Senior,Full-time,In-person,United States,M,235.8,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,174250,174250,United States,Senior,Full-time,In-person,United States,M,174.3,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,165000,165000,United States,Mid-level,Full-time,Remote,United States,M,165,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,118800,118800,United States,Mid-level,Full-time,Remote,United States,M,118.8,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,225000,225000,United States,Senior,Full-time,Remote,United States,M,225,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,150000,150000,United States,Senior,Full-time,Remote,United States,M,150,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,213900,213900,United States,Mid-level,Full-time,In-person,United States,M,213.9,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,116800,116800,United States,Mid-level,Full-time,In-person,United States,M,116.8,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,220000,220000,United States,Senior,Full-time,Remote,United States,M,220,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,150000,150000,United States,Senior,Full-time,Remote,United States,M,150,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,150000,150000,United States,Mid-level,Full-time,In-person,United States,M,150,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,100000,100000,United States,Mid-level,Full-time,In-person,United States,M,100,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,247500,247500,United States,Mid-level,Full-time,In-person,United States,M,247.5,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,172200,172200,United States,Mid-level,Full-time,In-person,United States,M,172.2,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,155000,155000,United States,Mid-level,Full-time,In-person,United States,M,155,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,120000,120000,United States,Mid-level,Full-time,In-person,United States,M,120,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,226700,226700,United States,Senior,Full-time,In-person,United States,M,226.7,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,133300,133300,United States,Senior,Full-time,In-person,United States,M,133.3,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,184000,184000,United States,Senior,Full-time,In-person,United States,M,184,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,123000,123000,United States,Senior,Full-time,In-person,United States,M,123,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,130000,130000,United States,Senior,Full-time,In-person,United States,M,130,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,117000,117000,United States,Senior,Full-time,In-person,United States,M,117,Data & Analytics Market Benchmark
2023,Data Science Engineer,Data Science and Research,USD,160000,160000,United States,Senior,Full-time,Remote,United States,M,160,Data & Analytics Market Benchmark
2023,Data Science Engineer,Data Science and Research,USD,140000,140000,United States,Senior,Full-time,Remote,United States,M,140,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,166000,166000,United States,Mid-level,Full-time,In-person,United States,M,166,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,73000,73000,United States,Mid-level,Full-time,In-person,United States,M,73,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,185900,185900,United States,Senior,Full-time,Remote,United States,M,185.9,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,129300,129300,United States,Senior,Full-time,Remote,United States,M,129.3,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,130000,130000,United States,Mid-level,Full-time,In-person,United States,M,130,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,104000,104000,United States,Mid-level,Full-time,In-person,United States,M,104,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,143000,143000,United States,Senior,Full-time,Remote,United States,M,143,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,116000,116000,United States,Senior,Full-time,Remote,United States,M,116,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,165000,165000,United States,Mid-level,Full-time,Remote,United States,M,165,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,118800,118800,United States,Mid-level,Full-time,Remote,United States,M,118.8,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,220000,220000,United States,Mid-level,Full-time,In-person,United States,M,220,Data & Analytics Market Benchmark
2023,Research Scientist,Data Science and Research,USD,180000,180000,United States,Mid-level,Full-time,In-person,United States,M,180,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,184000,184000,United States,Mid-level,Full-time,In-person,United States,M,184,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,123000,123000,United States,Mid-level,Full-time,In-person,United States,M,123,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,215000,215000,United States,Senior,Full-time,In-person,United States,M,215,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,200000,200000,United States,Senior,Full-time,In-person,United States,M,200,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,253000,253000,United States,Mid-level,Full-time,In-person,United States,M,253,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,131000,131000,United States,Mid-level,Full-time,In-person,United States,M,131,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000,United States,Senior,Full-time,In-person,United States,M,220,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,176000,176000,United States,Senior,Full-time,In-person,United States,M,176,Data & Analytics Market Benchmark
2023,Data Quality Analyst,Data Quality and Operations,GBP,40000,49216,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M,49.2,Data & Analytics Market Benchmark
2023,Data Quality Analyst,Data Quality and Operations,GBP,30000,36912,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M,36.9,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,210000,210000,United States,Senior,Full-time,In-person,United States,M,210,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,147000,147000,United States,Senior,Full-time,In-person,United States,M,147,Data & Analytics Market Benchmark
2023,Data Product Manager,Leadership and Management,USD,186000,186000,United States,Mid-level,Full-time,In-person,United States,M,186,Data & Analytics Market Benchmark
2023,Data Product Manager,Leadership and Management,USD,161000,161000,United States,Mid-level,Full-time,In-person,United States,M,161,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,205000,205000,United States,Senior,Full-time,In-person,United States,M,205,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000,152000,United States,Senior,Full-time,In-person,United States,M,152,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,220000,220000,Canada,Mid-level,Full-time,Remote,Canada,M,220,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,190000,190000,Canada,Mid-level,Full-time,Remote,Canada,M,190,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,205000,205000,United States,Senior,Full-time,In-person,United States,M,205,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000,152000,United States,Senior,Full-time,In-person,United States,M,152,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,USD,137000,137000,United States,Senior,Full-time,Remote,United States,M,137,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,USD,110000,110000,United States,Senior,Full-time,Remote,United States,M,110,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,172000,172000,United States,Senior,Full-time,Remote,United States,M,172,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,146000,146000,United States,Senior,Full-time,Remote,United States,M,146,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,148000,148000,United States,Mid-level,Full-time,In-person,United States,M,148,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,99000,99000,United States,Mid-level,Full-time,In-person,United States,M,99,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,150000,150000,United States,Senior,Full-time,In-person,United States,M,150,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,130000,130000,United States,Senior,Full-time,In-person,United States,M,130,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,USD,105000,105000,United States,Entry-level,Full-time,In-person,United States,M,105,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,99000,99000,United States,Senior,Full-time,In-person,United States,M,99,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,52500,52500,United States,Senior,Full-time,In-person,United States,M,52.5,Data & Analytics Market Benchmark
2023,Machine Learning Scientist,Machine Learning and AI,USD,180514,180514,United States,Senior,Full-time,Remote,United States,M,180.5,Data & Analytics Market Benchmark
2023,Machine Learning Scientist,Machine Learning and AI,USD,108308,108308,United States,Senior,Full-time,Remote,United States,M,108.3,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,210000,210000,United States,Senior,Full-time,In-person,United States,M,210,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,147000,147000,United States,Senior,Full-time,In-person,United States,M,147,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,290300,290300,United States,Senior,Full-time,In-person,United States,M,290.3,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,196685,196685,United States,Senior,Full-time,In-person,United States,M,196.7,Data & Analytics Market Benchmark
2023,AI Engineer,Machine Learning and AI,USD,220000,220000,United States,Senior,Full-time,In-person,United States,M,220,Data & Analytics Market Benchmark
2023,AI Engineer,Machine Learning and AI,USD,176000,176000,United States,Senior,Full-time,In-person,United States,M,176,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,175000,175000,United States,Mid-level,Full-time,In-person,United States,M,175,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,130000,130000,United States,Mid-level,Full-time,In-person,United States,M,130,Data & Analytics Market Benchmark
2023,Data Architect,Data Architecture and Modeling,USD,185000,185000,United States,Senior,Full-time,In-person,United States,M,185,Data & Analytics Market Benchmark
2023,Data Architect,Data Architecture and Modeling,USD,150000,150000,United States,Senior,Full-time,In-person,United States,M,150,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,145000,145000,United States,Senior,Full-time,In-person,United States,M,145,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,115000,115000,United States,Senior,Full-time,In-person,United States,M,115,Data & Analytics Market Benchmark
2023,MLOps Engineer,Machine Learning and AI,USD,133000,133000,United States,Entry-level,Full-time,In-person,United States,M,133,Data & Analytics Market Benchmark
2023,MLOps Engineer,Machine Learning and AI,USD,58300,58300,United States,Entry-level,Full-time,In-person,United States,M,58.3,Data & Analytics Market Benchmark
2023,Analytics Engineer,Leadership and Management,USD,115000,115000,United States,Senior,Full-time,In-person,United States,M,115,Data & Analytics Market Benchmark
2023,Analytics Engineer,Leadership and Management,USD,95000,95000,United States,Senior,Full-time,In-person,United States,M,95,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,GBP,89600,110244,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,110.2,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,GBP,32000,39372,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,39.4,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,EUR,40000,43187,Spain,Entry-level,Full-time,In-person,Spain,M,43.2,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,EUR,29000,31310,Spain,Entry-level,Full-time,In-person,Spain,M,31.3,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,GBP,75000,92280,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M,92.3,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,GBP,55000,67672,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M,67.7,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,GBP,75000,92280,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M,92.3,Data & Analytics Market Benchmark
2023,Data Analyst,Data Analysis,GBP,55000,67672,United Kingdom,Entry-level,Full-time,In-person,United Kingdom,M,67.7,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,EUR,70000,75577,Ireland,Senior,Full-time,Hybrid,Ireland,L,75.6,Data & Analytics Market Benchmark
2023,Deep Learning Engineer,Machine Learning and AI,CAD,409500,303387,Canada,Senior,Full-time,Remote,Canada,M,303.4,Data & Analytics Market Benchmark
2023,Deep Learning Engineer,Machine Learning and AI,CAD,135000,100017,Canada,Senior,Full-time,Remote,Canada,M,100,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,230300,230300,United States,Senior,Full-time,In-person,United States,M,230.3,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,140000,140000,United States,Senior,Full-time,In-person,United States,M,140,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,124935,124935,South Africa,Senior,Full-time,In-person,South Africa,M,124.9,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,76050,76050,South Africa,Senior,Full-time,In-person,South Africa,M,76.1,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,224800,224800,United States,Senior,Full-time,In-person,United States,M,224.8,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,131100,131100,United States,Senior,Full-time,In-person,United States,M,131.1,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,258000,258000,United States,Senior,Full-time,In-person,United States,M,258,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,171000,171000,United States,Senior,Full-time,In-person,United States,M,171,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,196000,196000,United States,Senior,Full-time,In-person,United States,M,196,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,121000,121000,United States,Senior,Full-time,In-person,United States,M,121,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,195800,195800,United States,Senior,Full-time,In-person,United States,M,195.8,Data & Analytics Market Benchmark
2023,Data Engineer,Data Engineering,USD,171500,171500,United States,Senior,Full-time,In-person,United States,M,171.5,Data & Analytics Market Benchmark
2023,Data Modeler,Data Architecture and Modeling,USD,166000,166000,United States,Mid-level,Full-time,In-person,United States,M,166,Data & Analytics Market Benchmark
2023,Data Modeler,Data Architecture and Modeling,USD,73100,73100,United States,Mid-level,Full-time,In-person,United States,M,73.1,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,220000,220000,United States,Mid-level,Full-time,In-person,United States,M,220,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,160000,160000,United States,Mid-level,Full-time,In-person,United States,M,160,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,85000,85000,United States,Entry-level,Full-time,In-person,United States,M,85,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,65000,65000,United States,Entry-level,Full-time,In-person,United States,M,65,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000,United States,Mid-level,Full-time,In-person,United States,M,220,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000,100000,United States,Mid-level,Full-time,In-person,United States,M,100,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,185000,185000,United States,Senior,Full-time,In-person,United States,M,185,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,USD,152000,152000,United States,Senior,Full-time,In-person,United States,M,152,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000,United States,Mid-level,Full-time,In-person,United States,M,220,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,100000,100000,United States,Mid-level,Full-time,In-person,United States,M,100,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,EUR,45000,48585,Spain,Senior,Full-time,In-person,Spain,M,48.6,Data & Analytics Market Benchmark
2023,Data Scientist,Data Science and Research,EUR,36000,38868,Spain,Senior,Full-time,In-person,Spain,M,38.9,Data & Analytics Market Benchmark
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000,United States,Mid-level,Full-time,In-person,United States,M,220,Data & Analytics Market Benchmark
